declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
23,10,ID,Idaho                         ,0,2000-03-03T00:00:00.000Z,Major Disaster,ID-ROCKSLIDES-02-11-2000,Mud/Landslide,2000-01-30T00:00:00.000Z,,Turndown,2000-03-17T00:00:00.000Z,0,1,0,1,2000021103,2000-01-30T00:00:00.000Z,cec76619-d60a-47c0-91d5-2a76cc5f3b84
40,6,OK,Oklahoma                      ,0,2000-05-10T00:00:00.000Z,Major Disaster,OK-Tulsa Flooding-5-6-00,Flood,2000-05-05T00:00:00.000Z,2000-05-08T00:00:00.000Z,Turndown,2000-05-24T00:00:00.000Z,0,1,0,1,2000050701,2000-05-06T00:00:00.000Z,f0d60b6c-0d14-40e7-bc88-cd17f61b69c8
46,6,LA,Louisiana                     ,0,2000-06-05T00:00:00.000Z,Major Disaster,LA-Tornado-North Louisiana-4/23/00,Tornado,2000-04-23T00:00:00.000Z,2000-04-24T00:00:00.000Z,Turndown,2000-06-21T00:00:00.000Z,0,1,0,1,2000042401,2000-04-23T00:00:00.000Z,af072463-ca99-4eac-b951-4332b17eb7f8
51,4,NC,North Carolina                ,0,2000-06-06T00:00:00.000Z,Major Disaster,NC -Severe Storms and Possible Tornados,Severe Storm,2000-05-25T00:00:00.000Z,2000-05-25T00:00:00.000Z,Turndown,2000-06-23T00:00:00.000Z,0,0,1,1,2000052601,2000-05-25T00:00:00.000Z,a399fb9d-1d03-49a3-a790-1429b8999027
56,5,IL,Illinois                      ,0,2000-06-15T00:00:00.000Z,Major Disaster,"IL-Severe Storms, Tornadoes & Flooding-05/19/2000",Severe Storm,2000-05-18T00:00:00.000Z,2000-05-26T00:00:00.000Z,Turndown,2000-06-27T00:00:00.000Z,0,0,1,1,2000051901,2000-05-19T00:00:00.000Z,fe437fdc-3030-4e88-aa31-15ac3d48408a
79,6,TX,Texas                         ,0,2000-07-27T00:00:00.000Z,Emergency,TX-Fire Emergency Request-07-27-00,Fire,2000-07-27T00:00:00.000Z,,Turndown,2000-09-20T00:00:00.000Z,0,0,1,0,2000073101,2000-07-27T00:00:00.000Z,396cf3b4-846d-4274-8084-2242fb913a29
93,1,CT,Connecticut                   ,0,2000-08-17T00:00:00.000Z,Major Disaster,CT Heavy Rains and Flooding 8-11-00,Severe Storm,2000-08-11T00:00:00.000Z,2000-08-12T00:00:00.000Z,Turndown,2000-09-21T00:00:00.000Z,0,1,0,1,2000081404,2000-08-11T00:00:00.000Z,4989ee38-0bd9-4cbe-9650-f7bfcae1e1e3
138,6,AR,Arkansas                      ,0,2000-09-08T00:00:00.000Z,Emergency,AR-Extreme Fire Hazard-8/25/00,Fire,2000-08-25T00:00:00.000Z,,Turndown,2000-09-20T00:00:00.000Z,0,0,1,0,2000090803,2000-08-25T00:00:00.000Z,eebf4e57-fa9d-4c41-afc7-20f5810b87da
154,6,OK,Oklahoma                      ,0,2000-09-22T00:00:00.000Z,Emergency,OK-Severe Fire Threat-8/29/00,Fire,2000-09-15T00:00:00.000Z,,Turndown,2000-10-11T00:00:00.000Z,0,0,1,0,2000092205,2000-09-15T00:00:00.000Z,24360ae8-75bd-4290-959f-a5142a102b41
155,5,WI,Wisconsin                     ,0,2000-09-22T00:00:00.000Z,Major Disaster," Wi-Eau Claire, Severe Storms and Flooding",Severe Storm,2000-09-10T00:00:00.000Z,2000-09-11T00:00:00.000Z,Turndown,2000-10-20T00:00:00.000Z,0,0,1,1,2000091401,2000-09-10T00:00:00.000Z,b6e4f2b4-dc79-4fc0-bf3b-0a9b150357eb
